Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,45409410397.12,1381471350.0,26.278412162,0.902497985495568,35.6063,1.60697,1.60697,5479318950.0,9.78453748989217,185639788.0
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,46018743293.2,1381471350.0,25.770402082,0.884732052578362,35.6063,1.60697,1.60697,5479318950.0,9.38802514141357,185639788.0
MCO,2021-12-31T00:00:00Z,4596034700.0,3386046150.0,2102142600.0,2292104150.0,10850722000.0,8695360600.0,51741481288.8,1381471350.0,28.642517343,0.723032069970845,35.6063,1.60697,1.60697,5479318950.0,8.62032367569802,185639788.0
MCO,2020-12-31T00:00:00Z,3928188270.0,2849417520.0,1789662390.0,1950563790.0,9075570330.0,7786165020.0,57602567081.3,1078039380.0,34.989868006,0.613633551899047,33.10371,2.02925,2.02925,4696858140.0,1.59856196183214,187093709.0
MCO,2020-12-31T00:00:00Z,3928188270.0,2849417520.0,1789662390.0,1950563790.0,9075570330.0,7786165020.0,51712382903.72,1078039380.0,31.994947265,0.659574468085106,33.10371,2.02925,2.02925,4696858140.0,8.32694644884078,187093709.0
MCO,2020-12-31T00:00:00Z,3928188270.0,2849417520.0,1789662390.0,1950563790.0,9075570330.0,7786165020.0,51452253086.68,1078039380.0,33.799135924,0.759082978788528,33.10371,2.02925,2.02925,4696858140.0,7.92660756161076,187093709.0
MCO,2020-12-31T00:00:00Z,3928188270.0,2849417520.0,1789662390.0,1950563790.0,9075570330.0,7786165020.0,43413615846.08,1078039380.0,31.791778278,0.841282956508676,33.10371,2.02925,2.02925,4696858140.0,7.50935262044689,187093709.0
MCO,2019-12-31T00:00:00Z,3642031800.0,2595956400.0,1577032200.0,1727872200.0,7741863000.0,7115122800.0,42769107518.64,891464400.0,30.18422109,0.852034994294409,29.44709,1.92416,1.92416,4209190200.0,7.309048415891,187687129.0
MCO,2019-12-31T00:00:00Z,3642031800.0,2595956400.0,1577032200.0,1727872200.0,7741863000.0,7115122800.0,45496720100.9,891464400.0,31.733119918,0.796302879488091,29.44709,1.92416,1.92416,4209190200.0,7.00852822388224,187687129.0
MCO,2019-12-31T00:00:00Z,3642031800.0,2595956400.0,1577032200.0,1727872200.0,7741863000.0,7115122800.0,45444838072.92,891464400.0,34.073221521,0.918409184091841,29.44709,1.92416,1.92416,4209190200.0,7.17307393916233,187687129.0
