Instrument,Forward Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To EBITDA (Daily Time Series Ratio),EV / Free Cash Flow (SmartEstimate ®),P/E (Daily Time Series Ratio),Forward P/E (Daily Time Series Ratio)
MSCI.K,19.324583128,22.93738324,31.7383416581228,40.244341514,29.073456084
VRSK.O,23.8206791537635,26.9351138941858,38.8937643384109,48.4809876797419,37.8976727033492
VRSK.O,21.9401417393605,18.7507692044104,35.1981563518696,29.9679639872106,33.8723476589827
VRSK.O,22.188998984,19.5333346924641,32.9654440287282,29.5970956528742,31.51230679
VRSK.O,19.113594772,18.794436303069,37.726330576927,28.4177829030033,27.720189414
VRSK.O,20.080161518,19.2436094254269,33.9920699591457,30.3511715948525,29.084535085
VRSK.O,23.65953758,30.587658011,39.4510971806969,57.759119471,35.743034693
VRSK.O,25.245424764,31.258912581,49.0312870019604,58.335501181,38.228132014
VRSK.O,22.877487486,27.884322579,42.391689503404,52.660641646,34.90236107
VRSK.O,20.665850734,25.088125413,35.0918574545589,44.315034444,31.785719796
VRSK.O,21.337845309,25.570723599,32.2990370636107,44.692949396,32.144213603
VRSK.O,25.187543755,27.5985527,43.7657734613401,51.426179069,38.241823022
VRSK.O,23.485280338,28.878574192,38.8719717292749,59.53084643,35.475250073
VRSK.O,22.557527612,27.709809893,38.3571502272944,58.070899724,33.950054174
VRSK.O,18.932781847,24.309945562,32.8657552509743,51.587257525,27.882304077
VRSK.O,20.031613892,25.026242485,31.73425460603,53.60180898,30.827792491
VRSK.O,21.611173115,24.060378802,36.7938548391048,44.225686919,32.944961085
VRSK.O,20.654941462,22.885783566,35.6192786083011,40.86860434,31.499355622
VRSK.O,19.333866248,21.526025133,31.7404414205688,37.320657405,29.200838008
VRSK.O,16.513926864,18.324296786,30.0676788115269,32.353778959,24.319363379
VRSK.O,18.432836874,20.488889953,32.2139279295373,38.862525629,27.252095496
VRSK.O,17.208040097,19.206867425,31.0859053639271,36.980922049,25.153190246
FDS,20.033425020316,21.9714955815393,29.9161789348084,34.8544663999986,24.4549683400945
FDS,21.1836839464667,24.5163360742914,30.2253033790938,37.8890083629838,26.3205882136678
FDS,21.178463909,25.45172737,29.5631259907449,39.23488023,26.062184788
FDS,21.028325039,26.055699447,28.932429559282,39.289873659,26.816848435
FDS,18.749236797,24.269891613,28.878404620474,35.396185639,26.490938015
FDS,23.049065199,28.264853021,32.1973098071852,41.226530837,31.46876376
FDS,28.119832517,32.683921977,37.5777835484524,46.910532066,37.963238255
FDS,23.891732692,27.103390319,31.5280974755151,39.394483695,32.192772873
FDS,21.403645197,23.059000128,29.9705622101241,33.441813377,28.715726114
FDS,19.992141327,21.823201489,27.8597118616814,31.385587385,26.763216645
FDS,21.792730305,23.750802681,30.8219108039433,34.449461345,29.16502265
FDS,22.593232689,24.465267784,32.0141672531834,34.499526105,30.141292126
FDS,22.86188976,24.479857404,34.4418043947695,34.785601576,30.496775274
FDS,18.955055603,19.438297341,27.8705850889003,28.004512005,25.462770995
FDS,19.402983733,20.520132806,27.6364002930429,29.856326859,26.311031778
FDS,18.084376836,19.440570385,25.3571268647922,28.868122924,24.077688741
FDS,20.751901201,24.136035132,30.2224218906537,35.99172552,27.613788458
FDS,18.566611641,21.742833222,28.0141590538693,31.960401903,24.519103013
FDS,15.287498778,17.858032277,21.1325378245611,26.939385373,20.291373993
FDS,17.368930641,20.788109893,23.9059309165407,31.204536103,23.212824966
FDS,15.929320309,18.784128555,26.0404864401264,28.645629987,21.065621366
ICE,15.515258758872,16.5536284838024,24.1131527953196,43.932989370299,19.7385867889557
ICE,14.7988859432325,15.5665688429238,22.089608388176,40.5600388915897,18.6944555677955
ICE,14.753411764,15.305957389,22.3203631759559,22.715396606,18.128547293
ICE,13.582724013,14.21700936,26.4125610879211,15.116329651,16.059900701
ICE,13.495675546,14.209755432,21.0870436656715,13.057774124,16.881282749
ICE,17.857642965,19.165524858,27.7107409888629,18.400319763,23.051850575
ICE,18.8597049,20.530034155,30.2132632557177,25.279652809,24.618270115
ICE,17.285913075,18.90324029,26.7249186072407,22.965331989,22.355622105
ICE,18.217150351,20.624355513,26.7993288954817,31.768377217,23.19047689
ICE,17.489988837,20.294852854,26.207445842455,29.668750315,22.235800773
ICE,19.42321266,22.542124399,31.5615775895947,31.771183545,24.312782716
ICE,16.654890024,17.731841878,24.7789932097616,25.915862165,21.759177971
ICE,15.450077275,16.408748747,20.8176533658887,24.479869583,20.135335687
ICE,14.063075785,15.556522254,21.2432149962643,23.612491959,18.498682789
ICE,16.458084408,17.485109201,23.1928958460204,25.219564169,21.914454305
ICE,16.709938183,18.078274206,24.8917331910227,26.173658979,22.597727823
ICE,16.072743961,17.172213104,26.0333383162963,24.734422983,21.648891059
ICE,14.733054118,15.576692245,20.6572289151587,22.281399977,19.434846713
ICE,14.655615688,16.145587949,21.2720240937318,23.811104262,19.264063175
ICE,14.886074261,16.063671536,20.701435205327,24.968659981,19.820172566
ICE,15.099676969,16.224908085,21.3928707015123,25.184647466,19.767092858
NDAQ.O,14.115952995349,14.6989111215552,21.4411368542472,21.6185507548062,17.8251160430798
NDAQ.O,15.4879496878527,16.0442588498317,22.1540899946753,24.1740068626411,19.8228764983927
NDAQ.O,16.986217687,18.219625608,24.8194747042199,26.845608216,21.942570681
NDAQ.O,16.073610252,17.706986708,23.2644722642502,25.112425511,20.447274725
NDAQ.O,14.796741544,16.42250685,20.9897321369141,21.900030933,18.770231283
NDAQ.O,16.869566987,18.821383496,24.7462703789102,25.274204372,22.236335226
NDAQ.O,20.231775398,22.562454544,30.5144605493526,30.570979593,27.35357273
NDAQ.O,19.615200663,21.227662263,30.5681784432843,28.580918935,25.858830669
NDAQ.O,18.649864838,20.331691531,28.1101612936582,28.558311354,24.927773999
NDAQ.O,15.706733484,17.271868184,23.545200952707,26.381251606,22.806938005
NDAQ.O,15.79563637,16.726088861,23.0493003746821,24.304253388,21.875462223
NDAQ.O,14.943162751,16.301398839,21.1249507930725,25.653060829,20.763789921
NDAQ.O,15.598853638,16.872697375,21.8384228481291,27.314019061,21.117946517
NDAQ.O,12.878348066,14.332707663,18.5612875932723,20.483030035,17.157550545
NDAQ.O,14.689099313,16.151300914,21.2322219602253,21.823495003,19.892659935
NDAQ.O,13.737159241,15.24839902,22.0583497118864,20.030383441,18.863546507
NDAQ.O,13.381704198,14.988687432,19.2849680856868,19.682586272,18.553373425
NDAQ.O,12.317252291,13.892229036,18.5057772888186,19.510620021,16.813865847
NDAQ.O,12.199758788,13.213250088,18.8535338143092,20.805415083,15.590401951
NDAQ.O,12.879370719,13.600337442,21.507858212207,21.611143654,16.61763987
NDAQ.O,13.813677465,14.720885946,19.6914644288679,23.590356228,17.884882279
EEFT.O,8.15951303276946,10.8992147717968,12.1020248127208,25.6282043443704,14.2685282799199
EEFT.O,8.10853406149616,10.6452337074038,11.6304018621844,25.6609000348566,14.2300170469095
EEFT.O,7.341176024,9.40370699,12.7868276466643,31.283145948,12.761459782
EEFT.O,5.785779371,8.612023584,9.40816106094779,29.869576874,9.659929641
EEFT.O,7.328770454,13.58010441,13.2764639713738,61.634141111,12.269541471
EEFT.O,9.397877116,17.528880472,16.7928618011161,99.549484087,17.109788182
EEFT.O,8.846356356,17.004631159,14.2503296006723,44.050404575,16.49793101
EEFT.O,10.143714917,21.75815485,33.5961475941138,60.901269893,18.613956651
EEFT.O,11.212990905,26.041010885,27.1082236471273,,20.689590227
EEFT.O,11.887569168,24.693434512,25.0245192704299,,21.977853651
EEFT.O,13.982336544,21.959369728,23.9872356012708,6756.177156177,25.805762313
EEFT.O,10.177930362,10.112872497,53.0486762157421,52.860317626,19.505993424
EEFT.O,13.37649457,8.519387342,58.0402559853705,18.475599175,27.69928362
EEFT.O,7.155574489,7.029398816,18.8961943783373,14.849023952,13.123663875
EEFT.O,11.226993676,14.168375352,19.2381149280871,30.331673267,19.476425811
EEFT.O,10.894288596,14.747033614,24.9891083026171,31.604347272,18.640344915
EEFT.O,12.513161261,17.221687266,42.8748823920169,40.051421226,22.27074421
EEFT.O,10.910866306,14.848723556,19.2757145016694,35.046367187,19.757590876
EEFT.O,8.256211526,10.861385594,15.058861637907,28.806167525,14.924633371
EEFT.O,9.220702231,11.576653137,18.2683659569586,28.974697012,16.646125987
EEFT.O,7.864412565,10.025206544,15.8719823084601,23.452898226,14.721203542
CME.O,18.122462248972,9.90822990124984,22.0915402778657,23.5378855918262,20.850935438677
CME.O,19.006478302969,12.4792724670982,23.8966599988206,25.8893376806657,22.442895656332
CME.O,16.997429753,13.8535926428629,20.5747790573513,22.93864567,20.129339164
CME.O,18.106982756,17.1578791994764,24.3834393763151,21.448799016,21.0260504
CME.O,21.055256685,21.3652829041456,26.6051110499325,26.081236842,24.569918297
CME.O,24.357553179,25.7871448653484,29.7177126921149,31.776106776,30.187118542
CME.O,24.983293125,26.1887632066727,30.7516684636399,32.792857161,30.343805001
CME.O,20.990209657,23.7716490652632,32.0081337446137,34.687314858,25.803776227
CME.O,23.305087302,26.5601861268424,31.7312501761904,38.276649028,28.903792444
CME.O,22.647441676,22.8839111083392,29.8670476776384,33.396457918,28.616281493
CME.O,20.811436284,19.5378819287182,26.6642635728385,29.135146569,25.946308747
CME.O,18.746208888,17.2699037265858,23.371385578557,23.905110206,22.468310362
CME.O,17.25525489,16.7992110617921,23.9194038239882,23.117186991,20.601784748
CME.O,17.508650908,20.0149793311528,22.4212948654137,27.712640897,21.319082572
CME.O,21.251501218,23.972229814,28.4271459418658,33.39209457,25.745955367
CME.O,22.653827822,27.090705543,32.2825631112752,38.576563002,27.348838041
CME.O,21.782373932,25.898094234,27.7675178656785,33.933643181,25.840232451
CME.O,18.327777881,21.668950001,24.7297069549559,26.912518004,21.598470205
CME.O,20.208350776,25.623569669,25.7542447696492,13.578142342,23.854251571
CME.O,19.045535305,22.163531322,25.1729440218858,12.456618433,22.618425317
CME.O,18.013075325,21.517801429,23.7127101722061,12.426178953,21.832119704
CBOE.K,13.247796547497,14.0556382032565,20.5544551978066,49.548886487418,18.7619046953402
CBOE.K,13.0632409708718,13.8547686203817,27.0348939333656,61.5057547100653,18.6078352822118
CBOE.K,12.812407088,13.288912299,18.9100640241032,56.143224063,17.712689873
CBOE.K,12.779684327,13.019167564,29.7338929168443,60.180485054,17.700417043
CBOE.K,12.441970299,12.652812745,42.5875998505174,24.237427865,17.661017782
CBOE.K,12.850526771,13.253291604,26.7605671345445,23.249859794,18.374284729
CBOE.K,16.472173312,15.95608432,20.0660707294306,31.152796824,21.778341907
CBOE.K,15.666757106,16.614255729,20.6512980248745,30.419950536,21.464829791
CBOE.K,15.220345167,16.579628996,19.092746802568,28.88630612,21.894168026
CBOE.K,13.711120725,13.703857025,20.6390150670305,23.128011399,19.074556475
CBOE.K,13.382687564,13.370883562,12.6439415639757,21.988608994,18.49615458
CBOE.K,12.485724006,11.685533,16.9627925486999,21.038850177,17.364791679
CBOE.K,12.865248292,12.937575592,18.1313585769182,23.786391675,17.994886734
CBOE.K,12.307931781,13.570597593,18.2687803144082,26.650144075,17.336875942
CBOE.K,17.106064375,17.025821382,26.3993329509866,31.530407136,24.272973864
CBOE.K,16.263123161,16.821835034,36.0321591586146,31.71392062,23.163879131
CBOE.K,15.321090952,15.547179085,23.6709998730473,29.010702298,21.554111334
CBOE.K,13.786618389,13.874892147,18.5924843765688,25.342269333,19.209032896
CBOE.K,14.456035328,15.593476402,19.7193642324904,31.570285272,19.746363282
CBOE.K,14.637055429,15.133860928,20.6043990648622,33.450575346,20.066557084
CBOE.K,15.496123024,16.652714678,21.909874139241,38.076526244,21.82468269
0388.HK,6.44908868311121,10.0705074362726,8.8589072281318,34.5607552789446,27.9130095981235
0388.HK,19.9890236216154,28.5219212815117,19.2722832335559,43.735586850686,34.2949957370743
0388.HK,4.180765809,5.467925235,3.22671897905851,43.673382162,35.562176769
0388.HK,-7.195633858,-8.790814401,NaN,31.751453018,26.764484453
0388.HK,-4.127576189,-5.135613278,NaN,43.060989309,36.115769291
0388.HK,16.1851719660851,20.0650599935182,22.6408967611026,37.57576616,33.20479337
0388.HK,10.107712658,13.45849357,13.6092104101069,45.16069532,36.880257401
0388.HK,12.651431311,17.685501615,33.9980105950365,47.205870923,37.739115006
0388.HK,12.847640845,18.852095768,22.7123788969413,44.810398181,36.139689792
0388.HK,20.255972825,32.381664044,34.7147167695639,50.330327158,36.82664365
0388.HK,17.150778653,24.612108103,40.999100097153,50.934131981,41.85447838
0388.HK,20.488410536,31.196154234,48.9028678451795,48.536981611,37.441701403
0388.HK,9.305935387,13.153673675,12.7440507618415,46.044627011,37.886628267
0388.HK,13.361299388,19.528818241,18.9543296490705,31.311269914,27.512371241
0388.HK,15.836627554,22.220181374,19.6667540113642,34.353995519,29.885619583
0388.HK,14.390996442,19.354800588,18.7516915709069,30.365040597,27.005181864
0388.HK,18.91748381,27.045854639,32.1585333754415,36.747169349,31.09632761
0388.HK,17.615273616,23.175314775,23.3813125504641,36.551445893,32.053941414
0388.HK,14.648942153,18.716385729,24.2478839331176,30.060665235,27.560606577
0388.HK,11.943273646,15.750160912,17.5391831678993,30.990206265,27.274474292
0388.HK,14.979014069,21.370108629,24.9472848791659,35.313059248,28.467464937
DB1GnEUR.xbo,14.9596252822488,16.6636293436294,22.0531629612567,20.1252023231458,17.5324425405845
DB1GnEUR.xbo,12.5563529024841,14.4336415997404,18.5096337450541,22.1151689478134,18.9858391594597
DB1GnEUR.xbo,17.1946144060764,20.5690704496695,26.86725781295,20.988132732,17.819053486
DB1GnEUR.xbo,14.2125095475393,17.253592843,24.831718873598,23.058779673,19.725658042
DB1GnEUR.xbo,18.9471709753794,23.231891399,30.7607190028479,22.354256133,20.036947152
DB1GnEUR.xbo,14.569811705,17.76500618,23.29121506165,24.784089527,21.825495259
DB1GnEUR.xbo,15.900430871,18.598318694,24.0572422939644,23.331022965,20.533313396
DB1GnEUR.xbo,14.308225628,16.80105896,22.5906927112066,23.779703473,20.121810867
DB1GnEUR.xbo,18.237548515,21.00719856,29.6769835461845,26.213720176,21.439530824
DB1GnEUR.xbo,12.92866762,13.524286659,20.2277331840505,24.073174295,21.251296431
DB1GnEUR.xbo,14.44777134,14.947610674,23.4742900244734,23.994472225,21.026762729
DB1GnEUR.xbo,14.661331136,15.006482982,24.2339200060312,25.332210464,22.387787958
DB1GnEUR.xbo,22.442079658,23.088001224,40.0689539436536,26.979034919,24.19266215
DB1GnEUR.xbo,12.278633587,13.595332891,24.2731371909307,22.854217517,19.016804737
DB1GnEUR.xbo,14.557603311,16.034873188,24.020335748398,27.645669897,21.803946953
DB1GnEUR.xbo,14.826186653,16.436221949,25.8946183269587,29.031219696,22.636912959
DB1GnEUR.xbo,12.852483787,14.292543703,31.6882534218888,26.923726209,19.900658099
DB1GnEUR.xbo,11.069644205,12.342260278,19.1242722650969,25.625159737,18.6230754
DB1GnEUR.xbo,11.752538459,14.021023827,20.6838922358365,21.673987704,17.41059345
DB1GnEUR.xbo,13.549748241,16.549894884,30.8068889334428,24.470616176,19.650101165
DB1GnEUR.xbo,13.208436771,14.565676589,25.0769146384447,25.236558189,20.137251908
MKTX.O,20.4805526247564,23.9750040724587,34.6715336716716,37.9405131301286,32.4419184199167
MKTX.O,30.8801804660919,36.7867519601259,49.3710269839875,58.8690179770987,48.6854525982062
MKTX.O,23.425647462,26.636085093,32.4923469428419,43.291313331,37.129102263
MKTX.O,18.75443243,21.360143793,36.0985717323783,34.843985893,30.260851174
MKTX.O,21.164448083,24.551332286,39.4183945788752,40.178851683,34.081446675
MKTX.O,27.797633468,31.64945793,38.5249366548439,50.265437562,44.838058946
MKTX.O,33.965447913,37.474306867,51.8722603853362,56.290701844,51.974492349
MKTX.O,33.876461269,37.555954942,52.5646036597367,55.64366048,51.216835658
MKTX.O,36.6313613,40.338882369,54.8933675435263,58.004071383,54.637172296
MKTX.O,39.3909775,44.940273945,51.3941715436384,63.440290292,57.760016845
MKTX.O,47.191259834,56.629098738,60.0134598483801,78.601224425,67.914673383
MKTX.O,42.782880681,50.681777846,56.3095881174446,69.754102991,61.561827979
MKTX.O,47.27889745,60.548505308,60.8020854636234,83.833177132,67.082164382
MKTX.O,34.285376863,44.029499252,44.4716796942863,61.60369285,50.718257866
MKTX.O,42.617055449,51.805807108,51.074723912463,71.814329526,61.745104171
MKTX.O,39.369351569,48.281370242,66.4264371885414,67.138309017,56.514944587
MKTX.O,41.139635486,49.238207807,60.3835328842463,68.703122228,58.342142374
MKTX.O,32.577746166,38.288908967,47.0497631391818,54.018575471,46.616018282
MKTX.O,27.916555993,33.639589617,37.4978297456136,46.488246488,41.150925024
MKTX.O,24.255632358,28.597492814,43.1018709064957,40.355783862,35.958957503
MKTX.O,28.168688735,32.4511947,44.4092601049853,45.462482997,40.342596441
