,Instrument_encoded,TRBC_Industry_encoded,Year,Quarter,Month_x,Month_y,Forward EV/EBITDA,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value,Free Cash Flow,PE Ratio,Dividend Yield,Net Profit Margin pct,Current Ratio,Quick Ratio,Total Debt,WACC pct,Outstanding Tot Shares,EV/EBITDA,P/E,Forward P/E,sentiment_numerical,sentiment_score,esg_numerical,esg_classification_score,fls_numerical,fls_classification_score,GDP,Stock traded pct GDP,Inflation pct,Unemployment Rate pct,Government Debt pct GDP,Balance of Trade,Exchange Rate USD,Government Consumption pct GDP
0,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,47306315084.8,1039000000.0,46.249068343,1.3441712926249,7.05432,1.00284,1.00284,8369000000.0,7.27993572602274,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3791424417959,2.51837109614205,15.469965411425438,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
1,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,47306315084.8,1039000000.0,46.249068343,1.3441712926249,7.05432,1.00284,1.00284,8369000000.0,7.27993572602274,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3791424417959,2.51837109614205,15.469965411425438,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
2,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,47306315084.8,1039000000.0,46.249068343,1.3441712926249,7.05432,1.00284,1.00284,8369000000.0,7.27993572602274,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3791424417959,2.51837109614205,15.469965411425438,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
3,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50107492567.08,1039000000.0,49.43776532,1.18779694923731,7.05432,1.00284,1.00284,8369000000.0,6.79922594115751,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3388798511382,2.51837109614205,15.474017958106419,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
4,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50107492567.08,1039000000.0,49.43776532,1.18779694923731,7.05432,1.00284,1.00284,8369000000.0,6.79922594115751,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3388798511382,2.51837109614205,15.474017958106419,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
5,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50107492567.08,1039000000.0,49.43776532,1.18779694923731,7.05432,1.00284,1.00284,8369000000.0,6.79922594115751,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3388798511382,2.51837109614205,15.474017958106419,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
6,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50188183911.68,1039000000.0,90.66178829,1.20010106114199,7.05432,1.00284,1.00284,8369000000.0,5.81363127773609,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3420478607384,2.51837109614205,15.473699088739608,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
7,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50188183911.68,1039000000.0,90.66178829,1.20010106114199,7.05432,1.00284,1.00284,8369000000.0,5.81363127773609,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3420478607384,2.51837109614205,15.473699088739608,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
8,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,787109000000.0,761590000000.0,50188183911.68,1039000000.0,90.66178829,1.20010106114199,7.05432,1.00284,1.00284,8369000000.0,5.81363127773609,557360850.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3420478607384,2.51837109614205,15.473699088739608,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
9,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,849141000000.0,845016000000.0,52045014236.64,1039000000.0,94.629429444,1.06232686980609,7.05432,1.00284,1.00284,2140000000.0,4.92830682404524,351587092.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3065743569091,2.51837109614205,15.477269599922757,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
10,7,0,2021,4,12,,,6535000000.0,5676000000.0,1406000000.0,2941000000.0,849141000000.0,845016000000.0,52045014236.64,1039000000.0,94.629429444,1.06232686980609,7.05432,1.00284,1.00284,2140000000.0,4.92830682404524,351587092.0,,,,1,0.9999998807907104,2,0.849567711353302,2,0.83353590965271,46585.8975644567,-542.3065743569091,2.51837109614205,15.477269599922757,186.481993581312,-38563646662.7926,0.727064944688322,22.3849750203282
